latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,source,product,acq_datetime,event_id
50.7506,30.7511,316.5,2.7,1.6,2001-01-25,10:07,Terra,MODIS,72,6.03,270.1,83.8,D,0.0,M-C61,archive,2001-01-25 10:07:00,-1
50.7601,30.7503,315.5,2.7,1.6,2001-01-25,10:07,Terra,MODIS,76,6.03,270.3,79.6,D,0.0,M-C61,archive,2001-01-25 10:07:00,-1
51.198,29.3808,321.3,1.0,1.0,2001-03-13,09:23,Terra,MODIS,81,6.03,286.4,19.3,D,0.0,M-C61,archive,2001-03-13 09:23:00,-1
50.7312,31.1389,304.9,1.0,1.0,2001-03-13,09:23,Terra,MODIS,60,6.03,284.6,7.6,D,0.0,M-C61,archive,2001-03-13 09:23:00,-1
50.7289,31.1531,302.2,1.0,1.0,2001-03-13,09:23,Terra,MODIS,51,6.03,285.2,5.9,D,0.0,M-C61,archive,2001-03-13 09:23:00,-1
50.9029,30.3979,310.0,1.0,1.0,2001-03-22,09:17,Terra,MODIS,69,6.03,278.0,13.5,D,0.0,M-C61,archive,2001-03-22 09:17:00,-1
50.5393,31.2074,307.9,1.1,1.0,2001-03-24,09:04,Terra,MODIS,66,6.03,281.0,11.4,D,0.0,M-C61,archive,2001-03-24 09:04:00,-1
50.5301,31.2047,306.5,1.1,1.0,2001-03-24,09:04,Terra,MODIS,64,6.03,280.2,10.3,D,0.0,M-C61,archive,2001-03-24 09:04:00,-1
50.3068,30.1944,311.2,1.1,1.1,2001-03-24,09:05,Terra,MODIS,71,6.03,280.1,15.2,D,0.0,M-C61,archive,2001-03-24 09:05:00,-1
50.305,30.2102,316.7,1.1,1.1,2001-03-24,09:05,Terra,MODIS,67,6.03,281.5,20.7,D,0.0,M-C61,archive,2001-03-24 09:05:00,-1
50.3022,30.2035,311.6,1.1,1.1,2001-03-24,09:05,Terra,MODIS,67,6.03,280.7,16.2,D,0.0,M-C61,archive,2001-03-24 09:05:00,-1
51.0865,31.2661,301.7,1.0,1.0,2001-03-29,09:23,Terra,MODIS,44,6.03,281.9,6.5,D,0.0,M-C61,archive,2001-03-29 09:23:00,-1
51.0842,31.2804,306.6,1.0,1.0,2001-03-29,09:23,Terra,MODIS,64,6.03,281.5,9.6,D,0.0,M-C61,archive,2001-03-29 09:23:00,-1
51.0753,31.2768,302.3,1.0,1.0,2001-03-29,09:23,Terra,MODIS,42,6.03,281.1,6.6,D,0.0,M-C61,archive,2001-03-29 09:23:00,-1
50.8818,28.686,317.4,1.0,1.0,2001-03-29,09:23,Terra,MODIS,78,6.03,281.9,18.1,D,0.0,M-C61,archive,2001-03-29 09:23:00,-1
51.0776,31.2624,300.1,1.0,1.0,2001-03-29,09:23,Terra,MODIS,15,6.03,282.2,5.4,D,0.0,M-C61,archive,2001-03-29 09:23:00,-1
51.4188,30.903,300.2,2.6,1.5,2001-03-30,10:05,Terra,MODIS,32,6.03,285.1,20.0,D,0.0,M-C61,archive,2001-03-30 10:05:00,-1
50.7597,29.9265,301.9,1.1,1.0,2001-03-31,09:10,Terra,MODIS,50,6.03,283.4,7.2,D,0.0,M-C61,archive,2001-03-31 09:10:00,-1
50.8683,29.2353,302.5,1.1,1.1,2001-03-31,09:10,Terra,MODIS,53,6.03,284.7,7.4,D,0.0,M-C61,archive,2001-03-31 09:10:00,-1
50.6586,31.2579,304.6,1.0,1.0,2001-03-31,09:10,Terra,MODIS,59,6.03,287.3,6.8,D,0.0,M-C61,archive,2001-03-31 09:10:00,-1
50.3935,30.9603,301.3,1.0,1.0,2001-03-31,09:10,Terra,MODIS,46,6.03,287.1,4.4,D,0.0,M-C61,archive,2001-03-31 09:10:00,-1
50.4627,31.2683,302.5,1.0,1.0,2001-03-31,09:10,Terra,MODIS,52,6.03,286.4,5.3,D,0.0,M-C61,archive,2001-03-31 09:10:00,-1
51.234,29.4157,304.6,1.1,1.1,2001-03-31,09:10,Terra,MODIS,59,6.03,287.2,7.7,D,0.0,M-C61,archive,2001-03-31 09:10:00,-1
51.1189,30.5779,312.4,1.0,1.0,2001-03-31,09:10,Terra,MODIS,55,6.03,284.3,14.0,D,0.0,M-C61,archive,2001-03-31 09:10:00,-1
51.2527,29.5025,307.7,1.1,1.0,2001-03-31,09:10,Terra,MODIS,66,6.03,283.7,11.4,D,0.0,M-C61,archive,2001-03-31 09:10:00,-1
