latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,source,product,acq_datetime
55.2796,61.459,320.6,1.0,1.0,2001-03-07,17:55,Terra,MODIS,100,6.03,267.1,25.7,N,0,M-C61,archive,2001-03-07 17:55:00
55.2815,61.4655,301.6,1.0,1.0,2001-04-16,07:30,Terra,MODIS,20,6.03,287.8,4.0,D,0,M-C61,archive,2001-04-16 07:30:00
55.1467,61.6607,300.6,1.1,1.0,2001-04-16,07:30,Terra,MODIS,39,6.03,286.3,4.5,D,2,M-C61,archive,2001-04-16 07:30:00
55.1771,60.195,302.0,1.0,1.0,2001-04-16,07:30,Terra,MODIS,50,6.03,277.5,8.1,D,0,M-C61,archive,2001-04-16 07:30:00
55.3268,61.6271,303.7,2.3,1.5,2001-04-17,06:35,Terra,MODIS,57,6.03,287.8,17.3,D,0,M-C61,archive,2001-04-17 06:35:00
55.3173,61.6179,306.2,2.3,1.5,2001-04-17,06:35,Terra,MODIS,59,6.03,287.9,20.8,D,0,M-C61,archive,2001-04-17 06:35:00
55.2959,61.2466,300.2,2.4,1.5,2001-04-17,06:35,Terra,MODIS,27,6.03,289.1,12.3,D,0,M-C61,archive,2001-04-17 06:35:00
55.3208,61.6212,327.3,2.5,1.5,2001-04-17,08:12,Terra,MODIS,85,6.03,290.4,96.4,D,0,M-C61,archive,2001-04-17 08:12:00
55.311,61.6573,302.3,2.5,1.5,2001-04-17,08:12,Terra,MODIS,50,6.03,288.8,16.5,D,0,M-C61,archive,2001-04-17 08:12:00
55.3281,61.6195,322.7,2.5,1.5,2001-04-17,08:12,Terra,MODIS,82,6.03,290.1,77.0,D,0,M-C61,archive,2001-04-17 08:12:00
55.3184,61.6558,308.9,2.5,1.5,2001-04-17,08:12,Terra,MODIS,68,6.03,289.4,32.4,D,0,M-C61,archive,2001-04-17 08:12:00
55.2977,61.2437,300.9,2.4,1.5,2001-04-17,08:12,Terra,MODIS,36,6.03,289.7,13.8,D,0,M-C61,archive,2001-04-17 08:12:00
55.1069,60.7774,304.5,2.4,1.5,2001-04-17,08:13,Terra,MODIS,59,6.03,289.4,18.8,D,0,M-C61,archive,2001-04-17 08:13:00
54.9882,61.0572,315.5,2.4,1.5,2001-04-17,08:13,Terra,MODIS,76,6.03,288.6,50.7,D,0,M-C61,archive,2001-04-17 08:13:00
54.9815,61.0468,312.6,2.4,1.5,2001-04-17,08:13,Terra,MODIS,73,6.03,288.3,39.1,D,0,M-C61,archive,2001-04-17 08:13:00
54.8864,60.4238,301.8,2.3,1.5,2001-04-17,08:13,Terra,MODIS,49,6.03,289.4,14.2,D,0,M-C61,archive,2001-04-17 08:13:00
55.2813,61.464,302.3,1.0,1.0,2001-04-17,17:48,Terra,MODIS,48,6.03,276.1,9.4,N,0,M-C61,archive,2001-04-17 17:48:00
