latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,source,product,acq_datetime,event_id
56.0522,92.8892,302.7,1.0,1.0,2001-04-13,05:20,Terra,MODIS,53,6.03,286.0,4.6,D,2.0,M-C61,archive,2001-04-13 05:20:00,-1
55.7101,93.8151,309.2,1.0,1.0,2001-04-22,05:14,Terra,MODIS,68,6.03,281.1,11.4,D,0.0,M-C61,archive,2001-04-22 05:14:00,-1
56.1793,92.9557,303.5,1.4,1.2,2001-04-26,04:49,Terra,MODIS,56,6.03,283.7,10.5,D,0.0,M-C61,archive,2001-04-26 04:49:00,-1
56.4173,93.497,303.2,1.1,1.1,2001-04-27,05:32,Terra,MODIS,55,6.03,279.6,9.2,D,0.0,M-C61,archive,2001-04-27 05:32:00,-1
56.1205,93.2239,304.9,1.1,1.1,2001-04-27,05:32,Terra,MODIS,24,6.03,282.1,8.2,D,0.0,M-C61,archive,2001-04-27 05:32:00,-1
56.1173,93.2415,309.5,1.1,1.1,2001-04-27,05:32,Terra,MODIS,52,6.03,280.6,12.2,D,0.0,M-C61,archive,2001-04-27 05:32:00,-1
56.1145,93.2341,316.2,1.1,1.1,2001-04-27,05:32,Terra,MODIS,76,6.03,282.1,19.0,D,0.0,M-C61,archive,2001-04-27 05:32:00,-1
56.7041,93.0688,308.1,3.5,1.8,2001-05-02,04:12,Terra,MODIS,67,6.03,280.4,69.2,D,0.0,M-C61,archive,2001-05-02 04:12:00,-1
56.7118,93.061,301.9,3.5,1.8,2001-05-02,04:12,Terra,MODIS,50,6.03,280.8,46.2,D,0.0,M-C61,archive,2001-05-02 04:12:00,-1
56.7127,93.0698,302.4,1.6,1.2,2001-05-02,05:50,Terra,MODIS,48,6.03,284.7,11.6,D,0.0,M-C61,archive,2001-05-02 05:50:00,-1
56.7024,93.0622,305.0,1.6,1.2,2001-05-02,05:50,Terra,MODIS,56,6.03,285.7,14.7,D,0.0,M-C61,archive,2001-05-02 05:50:00,-1
56.28,93.2595,300.2,1.6,1.3,2001-05-02,05:50,Terra,MODIS,30,6.03,286.6,8.7,D,0.0,M-C61,archive,2001-05-02 05:50:00,-1
56.2745,93.2841,329.1,1.6,1.3,2001-05-02,05:50,Terra,MODIS,86,6.03,286.9,57.7,D,0.0,M-C61,archive,2001-05-02 05:50:00,-1
55.8846,93.1169,300.4,1.6,1.3,2001-05-02,05:50,Terra,MODIS,27,6.03,275.1,15.6,D,0.0,M-C61,archive,2001-05-02 05:50:00,-1
56.7967,93.0817,308.1,2.2,1.4,2001-05-07,04:30,Terra,MODIS,66,6.03,293.9,16.7,D,0.0,M-C61,archive,2001-05-07 04:30:00,-1
56.795,93.1178,319.9,2.2,1.4,2001-05-07,04:30,Terra,MODIS,80,6.03,295.4,47.3,D,0.0,M-C61,archive,2001-05-07 04:30:00,-1
56.7976,93.1108,318.2,2.2,1.4,2001-05-07,04:30,Terra,MODIS,67,6.03,295.5,38.4,D,0.0,M-C61,archive,2001-05-07 04:30:00,-1
56.602,93.6348,309.1,2.5,1.5,2001-05-07,06:08,Terra,MODIS,68,6.03,292.5,22.2,D,0.0,M-C61,archive,2001-05-07 06:08:00,-1
56.6081,93.6356,307.2,2.5,1.5,2001-05-07,06:08,Terra,MODIS,42,6.03,292.3,15.8,D,0.0,M-C61,archive,2001-05-07 06:08:00,-1
56.5146,93.0081,317.2,2.4,1.5,2001-05-07,06:08,Terra,MODIS,77,6.03,283.8,48.9,D,0.0,M-C61,archive,2001-05-07 06:08:00,-1
56.4915,92.9896,309.6,1.0,1.0,2001-05-08,05:13,Terra,MODIS,60,6.03,296.0,5.5,D,0.0,M-C61,archive,2001-05-08 05:13:00,-1
56.3624,93.0438,308.0,1.0,1.0,2001-05-08,05:13,Terra,MODIS,62,6.03,295.8,4.6,D,0.0,M-C61,archive,2001-05-08 05:13:00,-1
55.5761,94.188,310.8,1.0,1.0,2001-05-08,05:13,Terra,MODIS,70,6.03,292.2,6.1,D,0.0,M-C61,archive,2001-05-08 05:13:00,-1
57.0061,92.9835,306.9,1.7,1.3,2001-05-09,05:56,Terra,MODIS,60,6.03,292.2,10.0,D,0.0,M-C61,archive,2001-05-09 05:56:00,-1
56.5463,92.8437,308.1,1.8,1.3,2001-05-09,05:56,Terra,MODIS,61,6.03,294.9,9.1,D,0.0,M-C61,archive,2001-05-09 05:56:00,-1
56.3324,93.0788,320.4,1.8,1.3,2001-05-09,05:56,Terra,MODIS,79,6.03,290.1,41.1,D,0.0,M-C61,archive,2001-05-09 05:56:00,-1
55.8365,93.8002,301.9,1.0,1.0,2001-05-09,15:31,Terra,MODIS,45,6.03,268.2,8.9,N,0.0,M-C61,archive,2001-05-09 15:31:00,-1
56.6996,93.4794,316.1,1.1,1.0,2001-05-10,05:01,Terra,MODIS,60,6.03,298.1,8.4,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
56.6903,93.4761,315.4,1.1,1.0,2001-05-10,05:01,Terra,MODIS,57,6.03,299.1,7.4,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
56.3002,92.7746,321.3,1.1,1.1,2001-05-10,05:01,Terra,MODIS,75,6.03,296.9,15.1,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
56.2974,92.7678,326.3,1.1,1.1,2001-05-10,05:01,Terra,MODIS,68,6.03,297.7,22.7,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
56.2369,93.2858,320.2,1.1,1.0,2001-05-10,05:01,Terra,MODIS,56,6.03,302.3,10.9,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
56.1977,93.2893,322.8,1.1,1.0,2001-05-10,05:01,Terra,MODIS,76,6.03,296.9,16.0,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
56.0449,94.5258,335.5,1.0,1.0,2001-05-10,05:01,Terra,MODIS,89,6.03,300.5,32.2,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
56.0428,94.5422,331.4,1.0,1.0,2001-05-10,05:01,Terra,MODIS,87,6.03,299.7,25.6,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
56.1379,93.4676,323.3,1.1,1.0,2001-05-10,05:01,Terra,MODIS,81,6.03,296.8,18.4,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
56.1358,93.4851,311.6,1.1,1.0,2001-05-10,05:01,Terra,MODIS,61,6.03,296.2,6.8,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
55.9244,94.5221,315.1,1.0,1.0,2001-05-10,05:01,Terra,MODIS,52,6.03,300.4,5.6,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
55.9133,94.5349,315.3,1.0,1.0,2001-05-10,05:01,Terra,MODIS,66,6.03,301.3,6.7,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
55.9112,94.5513,317.2,1.0,1.0,2001-05-10,05:01,Terra,MODIS,20,6.03,301.6,7.4,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
55.9091,94.5675,342.2,1.0,1.0,2001-05-10,05:01,Terra,MODIS,92,6.03,303.4,41.7,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
55.876,94.3248,324.9,1.0,1.0,2001-05-10,05:01,Terra,MODIS,82,6.03,296.8,19.0,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
55.8739,94.3412,315.0,1.0,1.0,2001-05-10,05:01,Terra,MODIS,63,6.03,297.0,8.6,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
55.8586,94.3868,322.6,1.0,1.0,2001-05-10,05:01,Terra,MODIS,73,6.03,300.4,14.0,D,0.0,M-C61,archive,2001-05-10 05:01:00,0
55.8564,94.4032,341.6,1.0,1.0,2001-05-10,05:01,Terra,MODIS,92,6.03,301.8,41.1,D,0.0,M-C61,archive,2001-05-10 05:01:00,0
55.8495,94.3832,323.1,1.0,1.0,2001-05-10,05:01,Terra,MODIS,81,6.03,300.9,13.8,D,0.0,M-C61,archive,2001-05-10 05:01:00,0
55.8474,94.3996,336.1,1.0,1.0,2001-05-10,05:01,Terra,MODIS,89,6.03,301.8,31.1,D,0.0,M-C61,archive,2001-05-10 05:01:00,0
55.8453,94.4159,327.7,1.0,1.0,2001-05-10,05:01,Terra,MODIS,81,6.03,299.8,18.7,D,0.0,M-C61,archive,2001-05-10 05:01:00,0
55.8576,93.9641,315.6,1.1,1.0,2001-05-10,05:01,Terra,MODIS,73,6.03,298.7,8.8,D,0.0,M-C61,archive,2001-05-10 05:01:00,-1
