latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,source,product,acq_datetime,event_id
55.8173,84.0348,301.1,3.0,1.6,2001-04-22,06:52,Terra,MODIS,45,6.03,286.6,25.8,D,0.0,M-C61,archive,2001-04-22 06:52:00,-1
57.1741,84.3307,308.5,2.1,1.4,2001-04-24,06:39,Terra,MODIS,51,6.03,287.6,26.8,D,0.0,M-C61,archive,2001-04-24 06:39:00,-1
55.9971,85.2587,311.5,1.0,1.0,2001-04-25,05:45,Terra,MODIS,71,6.03,283.2,13.4,D,0.0,M-C61,archive,2001-04-25 05:45:00,-1
57.1016,84.3994,308.7,1.0,1.0,2001-04-26,16:03,Terra,MODIS,75,6.03,266.4,15.4,N,0.0,M-C61,archive,2001-04-26 16:03:00,-1
56.9947,84.1133,311.3,2.9,1.6,2001-05-03,04:55,Terra,MODIS,71,6.03,292.4,44.8,D,0.0,M-C61,archive,2001-05-03 04:55:00,-1
56.9934,84.1618,311.7,2.9,1.6,2001-05-03,04:55,Terra,MODIS,72,6.03,290.7,46.4,D,0.0,M-C61,archive,2001-05-03 04:55:00,-1
56.9947,84.1072,308.5,2.9,1.6,2001-05-03,04:55,Terra,MODIS,67,6.03,292.4,35.4,D,0.0,M-C61,archive,2001-05-03 04:55:00,-1
56.9933,84.1558,315.2,2.9,1.6,2001-05-03,04:55,Terra,MODIS,76,6.03,291.0,59.4,D,0.0,M-C61,archive,2001-05-03 04:55:00,-1
55.9956,85.1308,306.0,2.6,1.6,2001-05-03,04:55,Terra,MODIS,63,6.03,292.7,16.3,D,0.0,M-C61,archive,2001-05-03 04:55:00,-1
55.9912,85.1226,306.1,2.6,1.6,2001-05-03,04:55,Terra,MODIS,63,6.03,293.3,15.5,D,0.0,M-C61,archive,2001-05-03 04:55:00,-1
55.8108,84.4352,305.8,2.8,1.6,2001-05-03,04:55,Terra,MODIS,62,6.03,293.9,15.9,D,0.0,M-C61,archive,2001-05-03 04:55:00,-1
56.9417,84.0848,315.8,1.8,1.3,2001-05-03,06:33,Terra,MODIS,75,6.03,293.1,26.4,D,0.0,M-C61,archive,2001-05-03 06:33:00,-1
56.9471,84.0822,305.6,1.8,1.3,2001-05-03,06:33,Terra,MODIS,56,6.03,292.2,10.2,D,0.0,M-C61,archive,2001-05-03 06:33:00,-1
56.9406,84.1095,307.9,1.8,1.3,2001-05-03,06:33,Terra,MODIS,59,6.03,293.2,14.9,D,0.0,M-C61,archive,2001-05-03 06:33:00,-1
56.9272,84.0022,307.8,1.8,1.3,2001-05-03,06:33,Terra,MODIS,64,6.03,293.7,12.0,D,0.0,M-C61,archive,2001-05-03 06:33:00,-1
56.9209,84.0292,311.7,1.8,1.3,2001-05-03,06:33,Terra,MODIS,72,6.03,293.9,18.3,D,0.0,M-C61,archive,2001-05-03 06:33:00,-1
56.3436,85.0138,303.2,2.0,1.4,2001-05-03,06:33,Terra,MODIS,43,6.03,291.8,9.8,D,0.0,M-C61,archive,2001-05-03 06:33:00,-1
55.9741,84.5074,310.0,2.0,1.4,2001-05-03,06:33,Terra,MODIS,69,6.03,293.9,19.8,D,0.0,M-C61,archive,2001-05-03 06:33:00,-1
55.9668,84.5369,306.2,2.0,1.4,2001-05-03,06:33,Terra,MODIS,63,6.03,294.7,11.5,D,0.0,M-C61,archive,2001-05-03 06:33:00,-1
55.9723,84.5005,307.7,2.0,1.4,2001-05-03,06:33,Terra,MODIS,51,6.03,293.6,14.0,D,0.0,M-C61,archive,2001-05-03 06:33:00,-1
55.9651,84.53,307.6,2.0,1.4,2001-05-03,06:33,Terra,MODIS,51,6.03,294.3,12.7,D,0.0,M-C61,archive,2001-05-03 06:33:00,-1
55.8175,84.9583,310.3,2.1,1.4,2001-05-03,06:33,Terra,MODIS,39,6.03,295.4,14.7,D,0.0,M-C61,archive,2001-05-03 06:33:00,-1
56.8979,84.0192,320.4,1.1,1.1,2001-05-04,05:38,Terra,MODIS,80,6.03,284.2,20.9,D,0.0,M-C61,archive,2001-05-04 05:38:00,-1
56.8958,84.0374,318.7,1.1,1.1,2001-05-04,05:38,Terra,MODIS,79,6.03,282.0,19.4,D,0.0,M-C61,archive,2001-05-04 05:38:00,-1
56.8926,84.0294,306.9,1.1,1.1,2001-05-04,05:38,Terra,MODIS,64,6.03,282.3,10.1,D,0.0,M-C61,archive,2001-05-04 05:38:00,-1
56.7955,83.9869,303.1,1.1,1.1,2001-05-04,05:38,Terra,MODIS,47,6.03,278.9,5.7,D,0.0,M-C61,archive,2001-05-04 05:38:00,-1
56.3294,85.1632,300.7,1.6,1.2,2001-05-05,06:21,Terra,MODIS,40,6.03,283.6,9.5,D,0.0,M-C61,archive,2001-05-05 06:21:00,-1
56.5402,83.9682,304.0,1.4,1.2,2001-05-05,06:21,Terra,MODIS,49,6.03,283.1,9.0,D,0.0,M-C61,archive,2001-05-05 06:21:00,-1
55.7295,84.2943,310.0,1.5,1.2,2001-05-05,06:21,Terra,MODIS,69,6.03,279.4,16.7,D,0.0,M-C61,archive,2001-05-05 06:21:00,-1
57.0919,84.0821,316.8,1.4,1.2,2001-05-06,05:26,Terra,MODIS,77,6.03,296.4,16.4,D,0.0,M-C61,archive,2001-05-06 05:26:00,0
57.0814,84.0791,316.3,1.4,1.2,2001-05-06,05:26,Terra,MODIS,76,6.03,294.4,15.5,D,0.0,M-C61,archive,2001-05-06 05:26:00,0
56.9974,84.0002,307.8,1.4,1.2,2001-05-06,05:26,Terra,MODIS,65,6.03,295.0,6.4,D,0.0,M-C61,archive,2001-05-06 05:26:00,-1
56.9869,83.9972,308.2,1.4,1.2,2001-05-06,05:26,Terra,MODIS,66,6.03,295.2,6.9,D,0.0,M-C61,archive,2001-05-06 05:26:00,-1
56.9363,83.9588,312.5,1.4,1.2,2001-05-06,05:26,Terra,MODIS,54,6.03,295.6,10.3,D,0.0,M-C61,archive,2001-05-06 05:26:00,1
56.9343,83.982,336.0,1.4,1.2,2001-05-06,05:26,Terra,MODIS,90,6.03,297.0,53.0,D,0.0,M-C61,archive,2001-05-06 05:26:00,1
56.9406,83.978,311.6,1.4,1.2,2001-05-06,05:26,Terra,MODIS,42,6.03,296.0,9.0,D,0.0,M-C61,archive,2001-05-06 05:26:00,1
56.9301,83.9749,346.9,1.4,1.2,2001-05-06,05:26,Terra,MODIS,95,6.03,296.7,83.5,D,0.0,M-C61,archive,2001-05-06 05:26:00,1
